@relation 'AT: Zone4_10k-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Standardize_principal components'

@attribute -0.575attr_4-0.478attr_6-0.471attr_2-0.383attr_5-0.261attr_1... numeric
@attribute -0.696attr_3-0.542attr_1+0.328attr_4+0.245attr_6-0.232attr_2... numeric
@attribute '0.635attr_5-0.484attr_2-0.393attr_6+0.37 attr_1-0.22attr_3...' numeric
@attribute -0.551attr_6-0.479attr_5+0.407attr_4+0.327attr_2-0.324attr_3... numeric
@attribute 0.559attr_1-0.503attr_2+0.476attr_6-0.448attr_5+0.067attr_4... numeric
@attribute class {A,AA,ADA,AN,BHA,BI,C,CH,CN,DA,DDA,DDH,DHA,DRA,E,EN,G,GH,HA,I,II,JA,JH,K,KH,KT,LA,MA,MN,MSA,NA,O,OI,OU,PA,PHA,RA,RI,S,SA,T,TA,THA,TTA,U,UN,UU,Y,YA}

@data
-1.431532,-1.088569,-0.29196,-0.627827,0.184517,A
-1.233053,-1.018439,-0.179461,-0.370838,-0.109376,A
-1.195847,-0.684709,-0.910088,-0.376957,0.857768,A
-1.09348,-0.889944,-0.330162,-0.002941,-0.13874,A
-1.02961,-0.965217,-0.351801,-0.600688,0.131355,A
-0.927408,-0.946542,-0.466579,-0.283874,0.005828,A
-1.282376,-0.766082,-0.213675,-0.670949,0.154075,A
-0.699603,-1.078409,-0.56948,-0.132562,0.070786,A
-1.317167,-1.214276,-0.372744,-0.572558,0.147675,A
-0.796689,-1.115906,-0.083982,-0.124025,-0.200198,A
-1.101541,-1.1059,-0.350476,-0.494423,0.190051,A
-0.938153,-1.080257,-0.201254,-0.176597,-0.170897,A
-0.909689,-0.825716,-1.062782,-0.113451,0.421893,A
-0.975267,-0.600957,-0.076412,-0.443672,-0.048848,A
-1.033706,-1.341293,-0.51591,-0.532775,0.0503,A
-0.724986,-1.208388,-0.002499,-0.572736,-0.156594,A
-0.437565,-1.258861,-0.197734,-0.419467,0.150966,A
-0.950191,-0.954637,-0.179167,-0.479205,-0.188985,A
-1.016166,-0.964943,-0.211556,-0.597324,-0.062871,A
-0.340958,-1.13914,0.14248,-0.556086,-0.245516,A
-0.508979,-1.184593,-0.266019,-0.461247,0.109073,A
-1.258794,-0.955065,-0.172285,-0.283032,-0.109666,A
-0.990592,-1.114425,-0.335227,-0.634807,0.07613,A
-0.80767,-1.173574,-0.31484,-0.099612,-0.018431,A
-1.001493,-0.75034,-0.124682,-0.805133,0.26118,A
-0.756331,-0.94817,-0.156922,-0.105353,-0.277692,A
-1.049277,-1.192098,-0.238891,-0.472131,-0.001774,A
-0.745849,-0.992737,-0.307504,-0.064696,-0.119193,A
-0.513811,-1.175253,-0.086958,-0.598626,-0.044424,A
-0.489571,-1.088619,0.101022,-0.608369,-0.189725,A
-0.798524,-1.378187,-0.180913,-0.582266,-0.086246,A
-0.366048,-0.961875,0.155105,-0.523643,-0.173327,A
-0.660477,-1.118858,-0.565933,-0.069614,0.056405,A
-1.169681,-1.086094,-0.36168,-0.342679,-0.097653,A
-0.58044,-1.186396,-0.612856,-0.185708,0.01434,A
-0.972167,-0.572636,-0.225088,-0.47865,0.363182,A
-0.332693,-1.212367,0.0385,-0.546995,0.012355,A
-0.98638,-1.056273,-0.441323,-0.209721,-0.176506,A
-0.745142,-0.619915,-0.103319,-0.599691,0.26307,A
-0.641013,-0.456305,-0.188858,-0.442162,0.178743,A
-0.247018,-1.113255,-0.248425,-0.371537,0.143897,A
-0.820652,-0.879415,-0.133348,-0.616833,-0.053036,A
-1.101849,-1.100251,-0.383754,-0.358806,0.042192,A
-0.171814,-1.176888,0.163219,-0.507154,-0.097617,A
0.118922,-1.052858,0.336859,-0.264537,0.082146,A
